Model Year	Mfr Name	Division	Region	Carline	Verify Mfr Cd	Eng Displ	# Cyl	Transmission	City FE (Guide) - Conventional Fuel	Hwy FE (Guide) - Conventional Fuel	Comb FE (Guide) - Conventional Fuel	City Unadj FE - Conventional Fuel	Hwy Unadj FE - Conventional Fuel	Comb Unadj FE - Conventional Fuel	City Unrd Adj FE - Conventional Fuel	Hwy Unrd Adj FE - Conventional Fuel	Comb Unrd Adj FE - Conventional Fuel	Trans	Trans Desc	# Gears	Lockup Torque Converter	Trans Creeper Gear	Drive Sys	Drive Desc	Fuel Usage  - Conventional Fuel	Annual Fuel1 Cost - Conventional Fuel	EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.	Descriptor - Model Type (40 Char or less)	Intake Valves Per Cyl	Exhaust Valves Per Cyl	Carline Class	Carline Class Desc	Class	Car/Truck Category - Cash for Clunkers Bill.	MFR Calculated Gas Guzzler MPG	City CO2 Rounded Adjusted	Hwy CO2 Rounded Adjusted	Comb CO2 Rounded Adjusted (as shown on FE Label)
2021	Kia	KIA MOTORS CORPORATION	Asia	Seltos AWD	KMX	2	4	Auto(AV-S8)	27	31	29	35	44.4	38.6856	26.8552	30.9153	28.542	SCV	Selectable Continuously Variable (e.g. CVT with paddles)	8	Y	N	A	All Wheel Drive	G	1400	1400		2	2	31	Small SUV 4WD	SUV			333	290	314
2021	Kia	KIA MOTORS CORPORATION	Asia	Sportage AWD	KMX	2	4	Auto(S6)	19	24	21	24.4	34.4	28.0722	19.3663	24.4967	21.3814	SA	Semi-Automatic	6	Y	N	A	All Wheel Drive	G	1950	1950	SIDI;	2	2	31	Small SUV 4WD	SUV			464	368	421
2021	Kia	KIA MOTORS CORPORATION	Asia	Sportage AWD	KMX	2.4	4	Auto(S6)	21	25	23	27.3441	35.9023	30.6297	21.4975	25.4795	23.1238	SA	Semi-Automatic	6	Y	N	A	All Wheel Drive	G	1750	1750	SIDI;	2	2	31	Small SUV 4WD	SUV			419	354	390
2021	Kia	KIA MOTORS CORPORATION	Asia	Telluride AWD	KMX	3.8	6	Auto(S8)	19	24	21	23.3261	34.155	27.2079	18.5787	24.3358	20.7922	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	G	1950	1950	SIDI;	2	2	31	Small SUV 4WD	SUV			479	366	428
2021	Mercedes-Benz	Mercedes-Benz	Europe	GLA 250 4MATIC	MBX	2	4	Auto(AM8)	24	33	27	30.8	47	36.4543	23.9483	32.5377	27.1767	AM	Automated Manual	8	Y	N	4	4-Wheel Drive	GPR	1800	1800	SIDI;	2	2	31	Small SUV 4WD	SUV		36.7	370	273	327
2021	Subaru	Subaru	Asia	CROSSTREK AWD	FJX	2	4	Auto(AV-S8)	28	33	30	36.0351	48.4595	40.7349	27.5599	33.4403	29.9282	SCV	Selectable Continuously Variable (e.g. CVT with paddles)	8	Y	N	A	All Wheel Drive	G	1350	1350	SIDI;	2	2	31	Small SUV 4WD	SUV		40.7	322	265	297
2021	Subaru	Subaru	Asia	CROSSTREK AWD	FJX	2	4	Manual(M6)	22	29	25	28.6	41.3	33.1932	22.3944	28.9563	24.9374	M	Manual	6	N	N	A	All Wheel Drive	G	1600	1600	SIDI;	2	2	31	Small SUV 4WD	SUV		33.2	395	305	355
2021	Subaru	Subaru	Asia	CROSSTREK AWD	FJX	2.5	4	Auto(AV-S8)	27	34	29	34.6829	48.9093	39.9064	26.6384	33.7173	29.4177	SCV	Selectable Continuously Variable (e.g. CVT with paddles)	8	Y	N	A	All Wheel Drive	G	1400	1400	SIDI;	2	2	31	Small SUV 4WD	SUV		39.9	333	264	302
2021	Volkswagen Group of	Volkswagen	Europe	Atlas 4Motion 2.0L	VGA	2	4	Auto(S8)	20	24	22	25.4	35.3	29.0686	20.0948	23.6939	21.5692	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	G	1850	1850	SIDI;	2	2	31	Small SUV 4WD	SUV			442	374	412
2021	Volkswagen Group of	Volkswagen	Europe	Atlas Cross Sport 4Motion	VGA	2	4	Auto(S8)	20	24	22	25.4	35.2	29.038	20.0948	23.6053	21.536	SA	Semi-Automatic	8	Y	N	A	All Wheel Drive	G	1850	1850	SIDI;	2	2	31	Small SUV 4WD	SUV			442	377	413
