Model.Year	Mfr	Division	Car.line	Class	CityMPG	HighwayMPG	CombinedMPG	Displacement	Cylinders	Transmission	Gears	CityCO2	HwyCO2	CombCO2
2019	Mercedes-Benz	Mercedes-Benz	AMG CLS53 4MATIC+	4-Wheel Drive	21	27	23	3.0	6	Auto(A9)	9	422	327	379
2019	Mercedes-Benz	Mercedes-Benz	AMG GT 53 4MATIC+	4-Wheel Drive	19	24	21	3.0	6	Auto(A9)	9	469	371	425
2019	Mercedes-Benz	Mercedes-Benz	AMG GT 63 4MATIC+	4-Wheel Drive	15	20	17	4.0	8	Auto(A9)	9	586	437	519
2019	Mercedes-Benz	Mercedes-Benz	AMG GT 63 S 4MATIC+	4-Wheel Drive	15	20	17	4.0	8	Auto(A9)	9	590	436	521
2019	Mercedes-Benz	Mercedes-Benz	AMG S 63 4MATIC (coupe)	4-Wheel Drive	17	27	20	4.0	8	Auto(A9)	9	525	329	437
2019	Mercedes-Benz	Mercedes-Benz	AMG S 65 (coupe)	"2-Wheel Drive, Rear"	13	21	16	6.0	12	Auto(A7)	7	666	415	553
2019	Mercedes-Benz	Mercedes-Benz	C 300	"2-Wheel Drive, Rear"	23	34	27	2.0	4	Auto(A9)	9	387	260	330
2019	Mercedes-Benz	Mercedes-Benz	C 300 4MATIC	4-Wheel Drive	22	33	26	2.0	4	Auto(A9)	9	396	272	340
2019	Mercedes-Benz	Mercedes-Benz	CLA 250	"2-Wheel Drive, Front"	24	37	29	2.0	4	Auto(AM7)	7	365	243	310
2019	Mercedes-Benz	Mercedes-Benz	CLA 250 4MATIC	4-Wheel Drive	24	32	27	2.0	4	Auto(AM7)	7	372	276	328
2019	Mercedes-Benz	Mercedes-Benz	CLA 250 4MATIC	Part-time 4-Wheel Drive	24	32	27	2.0	4	Auto(AM7)	7	372	276	328
2019	Mercedes-Benz	Mercedes-Benz	CLS 450	"2-Wheel Drive, Rear"	24	31	26	3.0	6	Auto(A9)	9	370	289	334
2019	Mercedes-Benz	Mercedes-Benz	CLS 450 4MATIC	4-Wheel Drive	23	30	26	3.0	6	Auto(A9)	9	381	296	343
2019	Mercedes-Benz	Mercedes-Benz	S 560 4MATIC (coupe)	4-Wheel Drive	17	26	20	4.0	8	Auto(A9)	9	524	335	439
2019	Mitsubishi Motors Co	Mitsubishi Motors Corporation	MIRAGE	"2-Wheel Drive, Front"	36	43	39	1.2	3	Auto(AV)	1	247	207	229
2019	Mitsubishi Motors Co	Mitsubishi Motors Corporation	MIRAGE	"2-Wheel Drive, Front"	33	41	36	1.2	3	Manual(M5)	5	264	216	242
2019	Mitsubishi Motors Co	Mitsubishi Motors Corporation	MIRAGE G4	"2-Wheel Drive, Front"	35	41	37	1.2	3	Auto(AV)	1	252	216	239
2019	Mitsubishi Motors Co	Mitsubishi Motors Corporation	MIRAGE G4	"2-Wheel Drive, Front"	33	40	35	1.2	3	Manual(M5)	5	266	221	252
2019	Nissan	NISSAN	VERSA	"2-Wheel Drive, Front"	31	39	34	1.6	4	Auto(AV)	1	288	229	262
2019	Nissan	NISSAN	VERSA	"2-Wheel Drive, Front"	27	36	30	1.6	4	Manual(M5)	5	328	247	296
2019	Rolls-Royce	Rolls-Royce Motor Cars Limited	Dawn	"2-Wheel Drive, Rear"	12	18	14	6.6	12	Auto(S8)	8	760	486	637
2019	Subaru	Subaru	WRX	All Wheel Drive	18	24	21	2.0	4	Auto(AV-S8)	8	469	361	420
2019	Subaru	Subaru	WRX	All Wheel Drive	21	27	23	2.0	4	Manual(M6)	6	431	325	383
2019	Subaru	Subaru	WRX	All Wheel Drive	17	22	19	2.5	4	Manual(M6)	6	535	404	476
2019	SUBARU TECNICA INTE	SUBARU TECNICA INTERNATIONAL	S209	All Wheel Drive	15	21	17	2.5	4	Manual(M6)	6	587	432	518
2019	Toyota	TOYOTA	C-HR	"2-Wheel Drive, Front"	27	31	29	2.0	4	Auto(AV-S7)	7	324	281	305
2019	Toyota	TOYOTA	COROLLA HATCHBACK	"2-Wheel Drive, Front"	32	42	36	2.0	4	Auto(AV-S10)	10	278	213	249
2019	Toyota	TOYOTA	COROLLA HATCHBACK MANUAL	"2-Wheel Drive, Front"	28	37	31	2.0	4	Manual(M6)	6	315	238	280
2019	Toyota	TOYOTA	COROLLA HATCHBACK XSE	"2-Wheel Drive, Front"	30	38	33	2.0	4	Auto(AV-S10)	10	295	230	266
2019	Toyota	TOYOTA	PRIUS c	"2-Wheel Drive, Front"	48	43	46	1.5	4	Auto(AV)	1	183	205	193
2019	Toyota	TOYOTA	YARIS	"2-Wheel Drive, Front"	30	35	32	1.5	4	Auto(A4)	4	296	256	278
2019	Toyota	TOYOTA	YARIS	"2-Wheel Drive, Front"	32	40	35	1.5	4	Auto(S6)	6	274	221	252
2019	Toyota	TOYOTA	YARIS	"2-Wheel Drive, Front"	30	39	34	1.5	4	Manual(M6)	6	294	227	264
2019	Volkswagen Group of	Volkswagen	Beetle	"2-Wheel Drive, Front"	26	33	29	2.0	4	Auto(S6)	6	340	269	308
2019	Volkswagen Group of	Volkswagen	Golf	"2-Wheel Drive, Front"	29	37	32	1.4	4	Auto(S8)	8	304	242	276
2019	Volkswagen Group of	Volkswagen	Golf	"2-Wheel Drive, Front"	29	37	32	1.4	4	Manual(M6)	6	304	236	274
2019	Volkswagen Group of	Volkswagen	Golf R	All Wheel Drive	23	30	26	2.0	4	Auto(AM-S7)	7	382	295	343
2019	Volkswagen Group of	Volkswagen	Golf R	All Wheel Drive	21	29	24	2.0	4	Manual(M6)	6	426	308	373
2019	Volkswagen Group of	Volkswagen	GTI	"2-Wheel Drive, Front"	25	31	27	2.0	4	Auto(AM-S7)	7	359	282	325
2019	Volkswagen Group of	Volkswagen	GTI	"2-Wheel Drive, Front"	24	32	27	2.0	4	Manual(M6)	6	368	275	326
2019	Volkswagen Group of	Volkswagen	Jetta	"2-Wheel Drive, Front"	30	40	34	1.4	4	Auto(S8)	8	294	222	262
2019	Volkswagen Group of	Volkswagen	Jetta	"2-Wheel Drive, Front"	30	40	34	1.4	4	Manual(M6)	6	296	222	263
2019	Volkswagen Group of	Volkswagen	Jetta GLI	"2-Wheel Drive, Front"	25	32	28	2.0	4	Auto(AM-S7)	7	350	272	315
2019	Volkswagen Group of	Volkswagen	Jetta GLI	"2-Wheel Drive, Front"	25	32	28	2.0	4	Manual(M6)	6	361	273	321
2019	Volvo	"Volvo Cars of North America, LLC"	S60 AWD	All Wheel Drive	21	32	25	2.0	4	Auto(S8)	8	416	273	351
2019	Volvo	"Volvo Cars of North America, LLC"	S60 FWD	"2-Wheel Drive, Front"	24	36	28	2.0	4	Auto(S8)	8	373	247	316
2019	Honda	Acura	RLX	All Wheel Drive	28	29	28	3.5	6	Auto(AM-S7)	7	316	303	316
2019	Honda	Acura	RLX	"2-Wheel Drive, Front"	20	29	23	3.5	6	Auto(S10)	10	447	305	383
2019	FCA US LLC	ALFA ROMEO	Giulia	"2-Wheel Drive, Rear"	24	33	27	2.0	4	Auto(A8)	8	377	273	330
2019	FCA US LLC	ALFA ROMEO	Giulia	"2-Wheel Drive, Rear"	17	24	20	2.9	6	Auto(A8)	8	522	365	451
2019	FCA US LLC	ALFA ROMEO	Giulia AWD	All Wheel Drive	23	31	26	2.0	4	Auto(A8)	8	395	291	348
2019	Volkswagen Group of	Audi	A5 Sportback quattro	All Wheel Drive	23	34	27	2.0	4	Auto(AM-S7)	7	379	266	328
2019	Volkswagen Group of	Audi	A6 quattro	All Wheel Drive	24	32	27	2.0	4	Auto(AM-S7)	7	369	281	329
2019	Volkswagen Group of	Audi	A6 quattro	All Wheel Drive	22	29	25	3.0	6	Auto(AM-S7)	7	402	308	360
2019	Volkswagen Group of	Audi	A7 quattro	All Wheel Drive	22	29	25	3.0	6	Auto(AM-S7)	7	402	308	360
2019	Volkswagen Group of	Audi	RS 5 Sportback	All Wheel Drive	17	26	20	2.9	6	Auto(S8)	8	506	339	431
2019	Volkswagen Group of	Audi	S5 Sportback	All Wheel Drive	21	30	24	3.0	6	Auto(S8)	8	428	301	371
2019	Volkswagen Group of	Bentley	Mulsanne	"2-Wheel Drive, Rear"	10	16	12	6.8	8	Auto(S8)	8	918	542	749
