state	county	trump16_pct	clinton16_pct	otherpres16_pct	romney12_pct	obama12_pct	otherpres12_pct	senaterace16	houserace16	govrace16	total_population	cvap	voterturnout16_pct	voterturnout12_pct	voterturnout_pct_diff	white_pct	nonwhite_pct	black_pct	hispanic_pct	foreignborn_pct	female_pct	age29andunder_pct	age65andolder_pct	median_hh_inc	clf_unemploy_pct	lesshs_pct	lesscollege_pct	rural_pct
Virginia	Spotsylvania	0.5534190083	0.3869281673	0.0596528244	0.549280712	0.4340738952	0.0166453928	No Race	Race	No Race	129181	92210	0.6784730506	0.6287170589	0.0497559918	70.144990362	29.855009638	15.667938784	8.6204627616	7.1844930756	50.899126032	40.642199704	12.131040943	79742	5.5984412417	10.420637645	70.403826346	32.327589729
Virginia	Stafford	0.5136651803	0.4232717566	0.0630630631	0.5361239952	0.4486737204	0.0152022845	No Race	Race	No Race	139548	97710	0.6747927541	0.6200286562	0.0547640978	64.701034769	35.298965231	16.566342764	11.188981569	8.7754751053	49.662481727	43.492561699	9.1251755668	97528	4.8950745123	6.4605303573	62.666803181	19.754809594
Virginia	Surry	0.4302270577	0.5373699149	0.0324030274	0.3878830084	0.5979572888	0.0141597029	No Race	Race	No Race	6731	5450	0.7757798165	0.7904587156	-0.014678899	51.93879067	48.06120933	46.10013371	0.3565592037	0.6536918734	50.720546724	32.105184965	19.075917397	56632	8.2342708031	16.444713479	77.179176755	100
Virginia	Sussex	0.4074147502	0.570777161	0.0218080888	0.3715073529	0.6172794118	0.0112132353	No Race	Race	No Race	11733	10535	0.4787850024	0.5163739915	-0.037588989	38.310747464	61.689252536	55.825449587	2.6932583312	2.8978095969	34.245291059	26.39563624	16.12545811	37917	6.6052715148	27.731264039	88.738002859	100
Virginia	Tazewell	0.8169772703	0.155930195	0.0270925347	0.7806789984	0.2064628919	0.0128581096	No Race	Race	No Race	43367	34700	0.5350432277	0.5110086455	0.0240345821	94.073834944	5.9261650564	3.0276477506	0.8877718081	0.8185947841	50.448497706	33.158853506	19.242742177	38238	8.3342776204	21.235324145	85.43899949	51.887838857
Virginia	Warren	0.6555122494	0.2878062361	0.0566815145	0.5910288657	0.3863935801	0.0225775542	No Race	Race	No Race	38807	29530	0.6081950559	0.5654588554	0.0427362005	87.955781173	12.044218827	3.8395134898	3.9838173525	3.2133377999	50.119823743	37.17112892	14.577266988	63734	6.4781800834	14.067197835	79.953397474	50.408516301
Virginia	Washington	0.7474755291	0.2148411808	0.0376832901	0.7077481273	0.2760611735	0.0161906991	No Race	Race	No Race	54562	43830	0.5897102441	0.5848049281	0.004905316	95.484036509	4.5159634911	1.2682819545	1.4149041457	1.6110113266	50.500348228	32.005791577	20.301675159	43835	6.4258569729	15.913832542	75.223085237	71.676142576
Virginia	Westmoreland	0.5187777	0.4473991136	0.0338231864	0.4594827586	0.5289408867	0.0115763547	No Race	Race	No Race	17528	13750	0.6235636364	0.5905454545	0.0330181818	63.680967595	36.319032405	26.825650388	6.1045184847	3.3146964856	50.707439525	31.806252853	23.008900046	51566	6.5998018821	15.012387736	78.809228863	78.841526298
Virginia	Wise	0.7970718196	0.1781309767	0.0247972037	0.737514982	0.2503662272	0.0121187908	No Race	Race	No Race	40074	31770	0.477274158	0.4727101039	0.0045640541	91.944901931	8.0550980686	5.1404900933	1.2302240854	1.1703348805	48.330588411	37.363377751	15.768328592	36352	10.372654507	24.758635486	85.575341486	56.670365724
Virginia	Wythe	0.7529041445	0.2075994904	0.0394963651	0.6735717754	0.3061174947	0.0203107299	No Race	Race	No Race	29171	23195	0.5752532873	0.5327872386	0.0424660487	94.052312228	5.9476877721	3.383497309	1.1004079394	0.9015803366	51.204963834	32.508313051	19.649652052	42888	7.5452496911	17.787306224	83.409508552	75.330938943
